ano,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2014,estadual,sem superior,65545,85.16439,1158.46,1652.89,1837.848,2261.953,1027.925,32.44382,2265.883
2015,estadual,sem superior,62904,86.58114,1226.58,1726.76,1982.793,2475.35,1155.867,31.75348,2497.734
2016,estadual,sem superior,57562,90.03857,1282.08,1809.86,2035.671,2503.92,1097.173,32.07419,2538.702
2017,estadual,sem superior,55469,85.87499,1336.82,1956.09,2151.756,2601.18,1132.614,31.56151,2727.063
2014,federal,sem superior,760,79.73684,3514.97,5743.78,6742.666,8466.66,3963.587,38.80393,6950.498
2015,federal,sem superior,828,60.38647,3409.48,5656.75,6783.05,8950.33,3939.576,39.16184,6928.224
2016,federal,sem superior,1127,61.93434,4072.33,7490.56,8410.283,11316.39,4891.54,39.01416,8622.801
2017,federal,sem superior,870,74.36782,5284.56,8893.26,9517.223,12328.08,5206.064,39.0121,9758.226
2014,municipal,sem superior,320619,77.27614,1109.26,1553.265,1756.712,2126.18,929.2023,32.64715,2152.361
2015,municipal,sem superior,315469,77.8796,1239.37,1748.91,1965.762,2389.12,1039.098,32.33248,2431.935
2016,municipal,sem superior,296187,76.29538,1340.05,1924.3,2179.545,2670.0,1172.777,32.43157,2688.177
2017,municipal,sem superior,284004,77.09082,1444.14,2061.93,2350.837,2871.99,1273.114,31.83174,2954.079
2014,privada,sem superior,162623,66.65232,849.6669,1107.86,1397.695,1661.335,930.8248,33.5111,1668.337
2015,privada,sem superior,167829,68.30762,940.4974,1234.17,1543.147,1850.19,1011.86,33.28196,1854.635
2016,privada,sem superior,166167,68.6785,1017.22,1331.76,1655.626,1972.6,1076.402,33.04407,2004.143
2017,privada,sem superior,163549,68.87538,1092.956,1428.65,1779.662,2111.29,1166.109,32.69968,2176.979
2014,publica,sem superior,386924,78.61725,1117.61,1577.0,1781.338,2154.42,988.8572,32.62242,2184.189
2015,publica,sem superior,379201,79.28486,1238.6,1744.85,1976.596,2408.91,1089.282,32.23912,2452.419
2016,publica,sem superior,354876,78.47896,1326.17,1905.21,2168.607,2645.98,1225.344,32.38207,2678.775
2017,publica,sem superior,340343,78.5155,1429.883,2042.757,2332.119,2825.45,1324.484,31.80009,2933.475
2014,estadual,superior,684292,96.64339,1732.282,2396.1,2767.568,3406.099,1558.662,30.98565,3572.709
2015,estadual,superior,671806,97.25576,1764.64,2532.14,2948.86,3629.41,1716.057,30.56305,3859.379
2016,estadual,superior,668210,97.53341,1902.165,2664.17,3125.22,3822.09,1810.398,31.8669,3922.842
2017,estadual,superior,646968,97.55568,1980.8,2759.71,3271.349,4063.02,1888.58,29.56508,4425.964
2014,federal,superior,26524,87.90152,4740.59,7101.25,7649.048,10066.08,3840.932,39.28245,7788.769
2015,federal,superior,29813,83.3529,5569.56,8950.33,9048.165,11339.01,4241.542,39.25084,9220.863
2016,federal,superior,32528,83.87543,6428.06,9631.44,9861.463,12072.46,4348.991,39.3928,10013.47
2017,federal,superior,34370,89.2668,7343.69,11058.77,11089.53,13461.95,4689.107,39.46195,11240.73
2014,municipal,superior,865923,94.45043,1654.215,2238.43,2561.388,3078.47,1374.887,30.05518,3408.914
2015,municipal,superior,878227,94.10505,1830.97,2466.725,2812.184,3388.49,1473.887,29.91252,3760.544
2016,municipal,superior,906416,94.16118,2007.85,2724.28,3079.742,3724.42,1586.761,29.95253,4112.83
2017,municipal,superior,934855,94.57178,2132.68,2894.92,3280.215,3982.85,1683.264,29.98856,4375.289
2014,privada,superior,372093,72.37653,1116.98,1713.19,2174.114,2615.07,1693.146,29.02047,2996.662
2015,privada,superior,370433,72.84475,1228.41,1877.434,2378.348,2848.42,1868.765,28.91108,3290.569
2016,privada,superior,373778,73.79139,1332.69,2035.68,2545.312,3030.69,1972.597,29.05232,3504.452
2017,privada,superior,375318,74.42702,1432.37,2199.02,2726.338,3225.93,2110.196,28.85456,3779.42
