ano,sigla_uf,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2014,DF,estadual,sem superior,898,98.1069,3416.16,3848.44,4653.632,5605.05,1648.804,33.91258,5488.975
2014,GO,estadual,sem superior,2250,98.97778,1105.24,1331.38,1417.105,1596.7,557.267,36.48251,1553.736
2014,MS,estadual,sem superior,426,95.53991,1249.72,1753.566,1872.274,2363.04,892.124,20.30959,3687.468
2014,MT,estadual,sem superior,993,98.08661,699.1401,819.86,917.7325,1042.58,412.3462,40.0,917.7325
2014,AL,estadual,sem superior,1588,14.86146,1305.62,1392.12,1750.659,1840.24,918.6773,26.58132,2634.42
2014,BA,estadual,sem superior,5570,31.3465,1081.64,1693.79,2065.394,2873.79,1173.557,32.91287,2510.135
2014,CE,estadual,sem superior,2916,61.45405,823.1695,1099.185,1172.378,1477.949,465.7484,25.48544,1840.075
2014,MA,estadual,sem superior,1574,78.33545,800.6,953.94,1603.602,2194.69,1066.362,21.72226,2952.918
2014,PB,estadual,sem superior,3467,82.29016,843.16,876.91,1094.649,1118.16,420.4507,30.00525,1459.277
2014,PE,estadual,sem superior,2024,93.33004,1292.44,1295.15,1428.041,1351.35,375.5434,31.66355,1804.018
2014,PI,estadual,sem superior,1458,77.29767,851.85,1268.64,1496.721,2105.84,780.2518,30.21559,1981.388
2014,RN,estadual,sem superior,785,59.87261,1979.93,2231.73,2275.311,2552.07,443.0232,40.0,2275.311
2014,SE,estadual,sem superior,194,97.42268,3058.65,3446.04,3575.992,3936.89,672.7322,39.96409,3579.206
2014,AC,estadual,sem superior,1580,73.98734,980.19,1415.13,1657.218,2160.85,866.247,27.19695,2437.358
2014,AM,estadual,sem superior,480,87.70833,1511.58,1834.93,2014.948,2281.63,968.4208,30.0,2686.598
2014,AP,estadual,sem superior,1393,78.96626,2781.81,3299.56,3630.592,4152.14,1066.758,39.98012,3632.397
2014,PA,estadual,sem superior,653,96.01838,2787.95,3575.79,3735.67,4322.7,1381.936,20.08329,7440.352
2014,RO,estadual,sem superior,508,93.50394,1795.06,1843.15,1846.709,1924.49,386.1384,38.44462,1921.423
2014,RR,estadual,sem superior,1555,97.29904,1607.68,1757.0,2250.683,2845.12,794.8927,33.53862,2684.288
2014,TO,estadual,sem superior,467,93.57602,1132.79,1748.274,1743.031,2065.4,733.9301,40.0,1743.031
2014,ES,estadual,sem superior,415,97.10843,1139.2,1546.959,1649.966,2067.35,804.5797,36.83432,1791.77
2014,MG,estadual,sem superior,6032,95.35809,873.02,1400.55,1437.377,1800.22,743.0244,24.34929,2361.262
2014,RJ,estadual,sem superior,1191,92.52729,,,,,,,
2014,SP,estadual,sem superior,14958,98.99051,1464.42,1866.72,1971.583,2297.135,962.0301,38.26475,2060.991
2014,PR,estadual,sem superior,2253,96.89303,865.4,1169.74,1254.849,1597.34,582.5301,39.81199,1260.775
2014,RS,estadual,sem superior,5102,98.41239,1499.88,1974.03,2036.529,2418.4,756.1163,31.17251,2613.237
2014,SC,estadual,sem superior,4815,99.41848,1340.47,1852.59,1897.819,2438.34,684.1559,25.55808,2970.206
